,district,name,538_democrat_wins,538_diff_from_even,cook_name,cook_pvi_rating,cook_category
2,AL-02,Martha Roby,2.39,47.61,Martha Roby,-16.0,SOLID_REPUBLICAN
62,CA-42,Ken Calvert,2.25,47.75,Ken Calvert,-9.0,SOLID_REPUBLICAN
151,IL-16,Adam Kinzinger,2.23,47.77,Adam Kinzinger,-8.0,SOLID_REPUBLICAN
42,CA-22,Devin Nunes,2.23,47.77,Devin Nunes,-8.0,SOLID_REPUBLICAN
264,NM-01,Open seat,97.92,47.92,Open seat,7.0,SOLID_DEMOCRATIC
427,WI-05,F. James Sensenbrenner,2.01,47.99,Jim Sensenbrenner,-13.0,SOLID_REPUBLICAN
94,FL-08,Bill Posey,1.95,48.05,Bill Posey,-11.0,SOLID_REPUBLICAN
200,MI-03,Justin Amash,1.92,48.08,Justin Amash,-6.0,SOLID_REPUBLICAN
27,CA-07,Ami Bera,98.13,48.129999999999995,Ami Bera,3.0,LIKELY_DEMOCRATIC
125,GA-12,Rick Allen,1.76,48.24,Rick Allen,-9.0,SOLID_REPUBLICAN
374,TX-14,Randy Weber,1.75,48.25,Randy Weber,-12.0,SOLID_REPUBLICAN
288,NY-18,Sean Patrick Maloney,98.26,48.260000000000005,Sean Maloney,-1.0,SOLID_DEMOCRATIC
98,FL-12,Gus M. Bilirakis,1.56,48.44,Gus Bilirakis,-8.0,SOLID_REPUBLICAN
401,VA-01,Robert J. Wittman,1.5,48.5,Robert Wittman,-8.0,SOLID_REPUBLICAN
251,NH-02,Ann Kuster,98.55,48.55,Ann Kuster,2.0,LIKELY_DEMOCRATIC
351,SD-01,Open seat,1.44,48.56,Open seat,-14.0,SOLID_REPUBLICAN
246,ND-01,Open seat,1.34,48.66,Open seat,-16.0,SOLID_REPUBLICAN
268,NV-02,Mark Amodei,1.31,48.69,Mark Amodei,-7.0,SOLID_REPUBLICAN
86,DE-01,Lisa Blunt Rochester,98.77,48.769999999999996,Lisa Blunt Rochester,6.0,SOLID_DEMOCRATIC
337,PA-14,Open seat,1.23,48.77,Open seat,-14.0,LIKELY_REPUBLICAN
187,MA-09,William Keating,98.78,48.78,Bill Keating,4.0,SOLID_DEMOCRATIC
20,AZ-09,Open seat,98.82,48.81999999999999,Open seat,4.0,SOLID_DEMOCRATIC
89,FL-03,Ted Yoho,1.18,48.82,Ted Yoho,-9.0,SOLID_REPUBLICAN
193,MD-06,Open seat,98.83,48.83,Open seat,6.0,SOLID_DEMOCRATIC
206,MI-09,Open seat,98.89,48.89,Open seat,4.0,SOLID_DEMOCRATIC
188,MD-01,Andy Harris,1.1,48.9,Andy Harris,-14.0,SOLID_REPUBLICAN
350,SC-07,Tom Rice,1.06,48.94,Tom Rice,-9.0,SOLID_REPUBLICAN
